departamento,codigo_departamento,municipio,codigo_municipio,poblacion,fecha,numero_casos,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SACATEPEQUEZ,3,SAN LUCAS SACATEPEQUEZ,308,28445,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
GUATEMALA,1,GUATEMALA,101,1205668,2021-01-01,3,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,PALIN,511,70118,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
EL PROGRESO,2,SAN AGUSTIN ACASAGUASTLAN,203,54588,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIMALTENANGO,4,PATZUN,407,69560,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
EL PROGRESO,2,EL JICARO,205,13508,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
GUATEMALA,1,FRAIJANES,113,61664,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,ESCUINTLA,501,166078,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SACATEPEQUEZ,3,ANTIGUA GUATEMALA,301,58338,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SACATEPEQUEZ,3,SAN BARTOLOME MILPAS ALTAS,307,8519,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
TOTONICAPAN,8,TOTONICAPAN,801,117483,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,SAN ANTONIO SUCHITEPEQUEZ,1010,64441,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ZACAPA,19,ZACAPA,1901,65730,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
GUATEMALA,1,VILLA NUEVA,115,464528,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
GUATEMALA,1,MIXCO,108,494561,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,SAN PEDRO NECTA,1306,40493,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,SANTA LUCIA COTZUMALGUAPA,502,123979,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ALTA VERAPAZ,16,SAN PEDRO CARCHA,1609,248880,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
