departamento,codigo_departamento,municipio,codigo_municipio,poblacion,fecha,numero_casos,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-02,0,2021-01-02,GT,Guatemala,AMRO,224,138236,7,4820
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-03,0,2021-01-03,GT,Guatemala,AMRO,80,138316,7,4827
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-04,0,2021-01-04,GT,Guatemala,AMRO,159,138475,6,4833
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-05,0,2021-01-05,GT,Guatemala,AMRO,181,138656,2,4835
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-06,0,2021-01-06,GT,Guatemala,AMRO,763,139419,24,4859
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-07,0,2021-01-07,GT,Guatemala,AMRO,783,140202,40,4899
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-08,0,2021-01-08,GT,Guatemala,AMRO,872,141074,29,4928
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-09,0,2021-01-09,GT,Guatemala,AMRO,990,142064,44,4972
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-10,0,2021-01-10,GT,Guatemala,AMRO,1063,143127,27,4999
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-11,0,2021-01-11,GT,Guatemala,AMRO,116,143243,26,5025
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-12,0,2021-01-12,GT,Guatemala,AMRO,733,143976,0,5025
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-13,0,2021-01-13,GT,Guatemala,AMRO,1028,145004,92,5117
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-14,0,2021-01-14,GT,Guatemala,AMRO,982,145986,0,5117
GUATEMALA,1,SAN PEDRO SACATEPEQUEZ,109,54623,2021-01-15,0,2021-01-15,GT,Guatemala,AMRO,951,146937,34,5151
